source_row,date,time,x,y,z,energy_j,local_x,local_y
2,43721.0,0.4440277777777778,383475.0,4353729.0,677.0,61.93156668456147,4475.0,8029.0
3,43726.0,0.399375,383228.0,4353877.0,683.0,54.949274209360695,4228.0,8177.0
4,43726.0,0.4091782407407407,383312.0,4353913.0,682.0,28.434961133551127,4312.0,8213.0
5,43729.0,0.5469675925925926,383509.0,4353638.0,683.0,51.46043433479142,4509.0,7938.0
6,43729.0,0.5645370370370371,383426.0,4353754.0,678.0,3.949608734553962,4426.0,8054.0
7,43729.0,0.15984953703703703,383497.0,4353860.0,772.0,71.60829959171014,4497.0,8160.0
8,43728.0,0.9607291666666666,383482.0,4353913.0,685.0,433.6333259602784,4482.0,8213.0
9,43731.0,0.9227314814814814,383511.0,4353718.0,743.0,984.6646831361,4511.0,8018.0
10,43732.0,0.4303587962962963,383446.0,4353746.0,682.0,0.30687988630518137,4446.0,8046.0
11,43734.0,0.869849537037037,383449.0,4353769.0,676.0,0.7586119099250825,4449.0,8069.0
12,43734.0,0.9992013888888889,383256.0,4353794.0,684.0,0.8900163777059884,4256.0,8094.0
13,43735.0,0.00443287037037037,383279.0,4353961.0,684.0,105.25573182001138,4279.0,8261.0
14,43741.0,0.1471875,383363.0,4353891.0,721.0,4.50715581578848,4363.0,8191.0
15,43744.0,0.8101041666666666,384318.0,4351846.0,694.0,337.1318647475106,5318.0,6146.0
16,43751.0,0.3301736111111111,383349.0,4353597.0,685.0,7.703909870920844,4349.0,7897.0
17,43764.0,0.40291666666666665,383298.0,4353840.0,680.0,75.1784679730353,4298.0,8140.0
18,43765.0,0.3849074074074074,383318.0,4353874.0,679.0,102.49048042531949,4318.0,8174.0
19,43772.0,0.12873842592592594,383541.0,4353722.0,667.0,5162.8994484493105,4541.0,8022.0
20,43773.0,0.5853587962962963,383332.0,4353839.0,679.0,52.59910400554308,4332.0,8139.0
21,43773.0,0.6178935185185185,383207.0,4353642.0,685.0,10.191542902471278,4207.0,7942.0
22,43781.0,0.22355324074074073,383565.0,4353957.0,679.0,3.429643544540411,4565.0,8257.0
23,43781.0,0.41181712962962963,383557.0,4353935.0,680.0,6.71445217713597,4557.0,8235.0
24,43780.0,0.9407638888888888,383417.0,4353829.0,679.0,10.141141212176853,4417.0,8129.0
25,43781.0,0.22355324074074073,383535.0,4353953.0,679.0,2.090675524857816,4535.0,8253.0
26,43783.0,0.43275462962962963,383445.0,4353867.0,681.0,28.70114245665737,4445.0,8167.0
27,43789.0,0.07401620370370371,383410.0,4353891.0,678.0,105.24606577145659,4410.0,8191.0
28,43789.0,0.9353935185185185,383477.0,4353819.0,680.0,0.14519250496526775,4477.0,8119.0
29,43790.0,0.12866898148148148,383393.0,4353764.0,678.0,0.19953831186895316,4393.0,8064.0
30,43790.0,0.534212962962963,383389.0,4353784.0,681.0,2.881077392742776,4389.0,8084.0
31,43792.0,0.11083333333333334,383237.0,4353797.0,682.0,0.8088041129091876,4237.0,8097.0
32,43793.0,0.3803240740740741,383376.0,4353804.0,684.0,14.044920446452656,4376.0,8104.0
33,43793.0,0.8444675925925926,383516.0,4353859.0,706.0,109.03295096566119,4516.0,8159.0
34,43794.0,0.6171527777777778,383358.0,4353780.0,678.0,0.545975631582662,4358.0,8080.0
35,43794.0,0.8502430555555556,383474.0,4353925.0,684.0,99.96990959010401,4474.0,8225.0
36,43795.0,0.08082175925925926,383499.0,4353868.0,680.0,0.19889524184643972,4499.0,8168.0
37,43795.0,0.10340277777777777,383539.0,4353855.0,683.0,0.897464962956566,4539.0,8155.0
38,43795.0,0.20096064814814815,383627.0,4353972.0,677.0,0.3749021036933654,4627.0,8272.0
39,43796.0,0.36788194444444444,383617.0,4353684.0,677.0,12.956537828253921,4617.0,7984.0
40,43796.0,0.3854513888888889,383458.0,4353902.0,682.0,0.2083326538799273,4458.0,8202.0
41,43796.0,0.39696759259259257,383422.0,4353939.0,683.0,2.8185457326355507,4422.0,8239.0
42,43797.0,0.33047453703703705,383513.0,4353747.0,682.0,2.407009079871993,4513.0,8047.0
43,43800.0,0.1972337962962963,383475.0,4353772.0,683.0,0.28141218340275104,4475.0,8072.0
44,43800.0,0.26458333333333334,383592.0,4354268.0,685.0,2.6204044957356474,4592.0,8568.0
45,43802.0,0.2192939814814815,383436.0,4353819.0,682.0,622.0784893979973,4436.0,8119.0
46,43802.0,0.22369212962962962,383469.0,4353769.0,684.0,107.25068150347003,4469.0,8069.0
47,43802.0,0.8891550925925926,383564.0,4353877.0,681.0,93.98786719269103,4564.0,8177.0
48,43812.0,0.9895833333333334,383526.0,4353508.0,684.0,24.027708010191546,4526.0,7808.0
49,43825.0,0.323125,382665.0,4353345.0,760.0,7072.075286836639,3665.0,7645.0
50,43845.0,0.8646759259259259,383335.0,4353493.0,683.0,62926.519336031706,4335.0,7793.0
51,43846.0,0.0030324074074074073,383493.0,4353467.0,682.0,7876.8412702528585,4493.0,7767.0
52,43846.0,0.15465277777777778,383549.0,4353059.0,691.0,5404.690178195204,4549.0,7359.0
53,43847.0,0.830787037037037,383464.0,4353472.0,664.0,626.1081258909712,4464.0,7772.0
54,43848.0,0.3770949074074074,383325.0,4353448.0,693.0,1.0339914723449541,4325.0,7748.0
55,43848.0,0.43386574074074075,384076.0,4352380.0,687.0,284.01809511461147,5076.0,6680.0
56,43860.0,0.8635069444444444,383380.0,4353461.0,683.0,501.99120375256706,4380.0,7761.0
57,43861.0,0.8356134259259259,383409.0,4353487.0,687.0,156908.0923641076,4409.0,7787.0
58,43862.0,0.7317939814814814,383217.0,4353715.0,683.0,721.860300513227,4217.0,8015.0
59,43872.0,0.9487731481481482,383830.0,4353474.0,674.0,780.432330669215,4830.0,7774.0
60,43874.0,0.5628356481481481,383803.0,4353067.0,687.0,876.9316546577461,4803.0,7367.0
61,43885.0,0.5816898148148149,384205.0,4352454.0,690.0,4733.902413794048,5205.0,6754.0
